,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_degree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1.1697400410970051,0.03596636348315868,0.4829813639322917,0.037286084396706595,1,{'degree': 1},0.7631056956644942,0.7628223292717484,0.7614054973080193,0.762444507414754,0.0007437430692369457,21
1,1.2834691206614177,0.09023005964669129,0.47521599133809406,0.008958877351697783,6,{'degree': 6},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
2,0.9706512292226156,0.0055173269805055105,0.5072471300760905,0.0980629536317398,11,{'degree': 11},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
3,0.9856623808542887,0.019506713370958582,0.3550889492034912,0.009570539637931617,16,{'degree': 16},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
4,0.9620504379272461,0.03142131623386872,0.3674256006876628,0.012519786163899194,21,{'degree': 21},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
5,0.8900203704833984,0.051098628032645,0.37839269638061523,0.021665159646882592,26,{'degree': 26},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
6,0.8575834433237711,0.00843248188109657,0.36025230089823407,0.005942819437695934,31,{'degree': 31},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
7,0.85520339012146,0.009486496737445279,0.3778525988260905,0.013594165803216235,36,{'degree': 36},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
8,0.8949050108591715,0.021300659155156575,0.36048563321431476,0.006678843551901087,41,{'degree': 41},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
9,0.8520569006601969,0.029289986739852784,0.38786109288533527,0.008650159400775985,46,{'degree': 46},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
10,0.842106024424235,0.061318928949175296,0.36842934290568036,0.014845725872263375,51,{'degree': 51},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
11,0.8572419484456381,0.0035361581872419435,0.38721370697021484,0.00476688655537692,56,{'degree': 56},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
12,0.8543789386749268,0.01520964342299975,0.38476769129435223,0.0167335626309104,61,{'degree': 61},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
13,0.8870653311411539,0.023435898563877962,0.3832539717356364,0.001947529917131914,66,{'degree': 66},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
14,0.8576357364654541,0.019268198601034056,0.4040223757425944,0.010964887948185939,71,{'degree': 71},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
15,0.9187573591868082,0.07993079745614001,0.408239205678304,0.004910651991890988,76,{'degree': 76},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
16,0.8637833595275879,0.08032840580763297,0.4134453932444255,0.026483333321333583,81,{'degree': 81},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
17,0.9228271643320719,0.011711682469854486,0.3867129484812419,0.011610932265725711,86,{'degree': 86},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
18,0.8605451583862305,0.012061868501335213,0.37981120745340985,0.012985294989328272,91,{'degree': 91},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
19,0.8316606680552164,0.019483595105550453,0.35563135147094727,0.003481843183476194,96,{'degree': 96},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
20,0.890758752822876,0.06956327532883536,0.3079545497894287,0.03832301545692373,101,{'degree': 101},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,1
